"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1013.9","1016.7","1021.4","2022/01/01 09:17:00","1005.8","2022/01/29 14:47:00","21.3","26.7","2022/01/23 11:00:00","14.4","2022/01/13 02:15:00","16.9","3.8","40","22.5","140","2022/01/07 00:52:00","173.0","60.2","8","9.5","2022/01/06 00:55:00","21.0","2022/01/22 08:01:00","55.5","2022/01/22 00:00:00","77","87.3","120.9","359.78","5","8","2022/01/31 13:00:00","6.7","21.3","20.3","20.2","19.9","20.9","18.2","22.6"
"02","1014.0","1016.9","1020.8","2022/02/25 09:14:00","1007.5","2022/02/13 16:00:00","21.3","27.4","2022/02/13 12:49:00","15.7","2022/02/16 06:56:00","16.3","4.1","40","30.3","40","2022/02/20 11:43:00","17.0","13.7","5","5.0","2022/02/08 00:09:00","8.0","2022/02/08 00:01:00","8.0","2022/02/08 00:00:00","74","102.7","143.5","399.54","7","11","2022/02/24 13:00:00","5.7","20.9","19.9","19.9","19.5","20.5","17.8","22.0"
"03","1010.8","1013.6","1015.9","2022/03/01 09:31:00","1003.1","2022/03/18 03:47:00","24.2","31.3","2022/03/22 13:05:00","16.3","2022/03/08 04:35:00","19.4","3.1","100","20.4","360","2022/03/29 10:36:00","12.5","13.8","2","2.5","2022/03/23 15:13:00","4.5","2022/03/23 15:13:00","7.5","2022/03/23 00:00:00","75","142.6","183.7","559.89","9","12","2022/03/25 12:00:00","5.5","24.5","23.1","23.0","22.4","23.2","22.2","23.2"
"04","1010.3","1013.1","1019.2","2022/04/04 22:02:00","1001.9","2022/04/13 15:16:00","25.2","32.6","2022/04/29 12:44:00","20.2","2022/04/02 03:19:00","20.4","3.6","40","24.4","80","2022/04/04 10:55:00","12.5","10.7","6","2.5","2022/04/14 20:53:00","6.5","2022/04/14 20:53:00","8.0","2022/04/14 00:00:00","75","167.8","189.7","617.02","10","13","2022/04/01 13:00:00","5.2","26.8","25.1","25.0","24.4","25.3","24.1","24.9"
"05","1007.1","1009.8","1012.2","2022/05/03 21:31:00","1001.7","2022/05/26 16:29:00","26.6","32.3","2022/05/09 12:11:00","20.3","2022/05/02 22:16:00","23.0","2.4","280","21.9","40","2022/05/02 01:44:00","308.0","41.6","15","18.0","2022/05/20 06:39:00","72.0","2022/05/20 06:17:00","181.5","2022/05/20 00:00:00","81","122.6","107.6","486.02","8","12","2022/05/30 13:00:00","7.7","27.5","26.4","26.4","25.7","26.6","29.1","26.3"
"06","1005.7","1008.5","1010.7","2022/06/22 22:41:00","1001.1","2022/06/06 16:50:00","28.7","33.8","2022/06/26 11:56:00","24.3","2022/06/09 05:39:00","25.7","2.1","280","14.0","70","2022/06/30 11:45:00","141.0","26.2","20","12.5","2022/06/04 09:11:00","25.5","2022/06/04 09:07:00","47.0","2022/06/04 00:00:00","84","121.7","203.7","636.81","10","13","2022/06/26 13:00:00","6.4","29.6","28.7","28.7","28.0","28.9","31.7","27.8"
"07","1004.8","1007.6","1010.9","2022/07/21 22:17:00","998.8","2022/07/30 16:43:00","28.9","34.4","2022/07/13 13:55:00","24.4","2022/07/06 10:20:00","25.8","1.9","100","11.9","280","2022/07/03 04:05:00","200.5","29.7","12","11.0","2022/07/01 22:06:00","26.5","2022/07/01 21:55:00","50.5","2022/07/03 00:00:00","84","145.4","213.0","629.57","11","14","2022/07/08 13:00:00","5.0","29.5","28.8","28.8","28.1","29.0","31.0","28.4"
"08","1005.7","1008.4","1010.4","2022/08/25 21:56:00","1001.2","2022/08/24 03:51:00","28.6","33.4","2022/08/22 13:38:00","24.1","2022/08/03 14:57:00","25.4","2.0","100","15.3","50","2022/08/24 02:35:00","261.0","26.8","18","12.5","2022/08/08 21:23:00","20.5","2022/08/08 21:21:00","50.5","2022/08/03 00:00:00","84","143.6","240.4","665.28","11","13","2022/08/04 13:00:00","5.0","28.7","28.3","28.4","27.8","28.8","29.5","28.7"
"09","1004.2","1007.0","1012.3","2022/09/30 21:56:00","990.6","2022/09/03 14:50:00","28.3","33.3","2022/09/15 12:42:00","24.0","2022/09/23 06:05:00","23.4","2.8","40","19.8","280","2022/09/04 03:57:00","42.0","7.4","6","8.0","2022/09/19 13:32:00","16.5","2022/09/19 12:55:00","16.5","2022/09/19 00:00:00","76","158.7","194.0","581.41","9","12","2022/09/04 13:00:00","5.4","27.9","27.1","27.2","26.5","27.7","29.0","28.2"
"10","1009.3","1012.1","1015.8","2022/10/25 22:36:00","998.7","2022/10/16 03:38:00","26.7","33.3","2022/10/04 11:39:00","22.6","2022/10/25 23:28:00","21.0","5.6","40","29.7","60","2022/10/18 19:00:00","140.0","35.0","8","6.5","2022/10/17 21:12:00","14.0","2022/10/17 03:28:00","47.5","2022/10/17 00:00:00","71","166.4","196.1","527.45","8","11","2022/10/01 12:00:00","5.5","26.8","25.0","25.1","24.5","25.7","26.9","26.8"
"11","1011.2","1014.0","1015.3","2022/11/30 10:06:00","1000.2","2022/11/01 04:21:00","26.1","31.3","2022/11/13 12:02:00","21.5","2022/11/06 00:16:00","21.7","3.4","30","31.3","60","2022/11/01 06:34:00","13.5","6.8","4","3.5","2022/11/23 16:08:00","3.5","2022/11/23 16:08:00","3.5","2022/11/23 00:00:00","77","122.4","173.3","440.28","7","9","2022/11/01 12:00:00","5.2","26.7","24.6","24.6","23.9","24.9","25.1","25.5"
"12","1013.4","1016.3","1020.0","2022/12/18 08:23:00","1006.0","2022/12/11 14:57:00","22.1","29.8","2022/12/04 11:49:00","14.8","2022/12/18 18:02:00","15.9","5.0","30","27.0","50","2022/12/11 20:13:00","4.5","18.9","5","1.0","2022/12/18 02:08:00","2.0","2022/12/18 02:08:00","2.5","2022/12/18 00:00:00","68","128.6","164.1","404.39","6","7","2022/12/01 12:00:00","5.0","22.8","21.4","21.5","20.9","22.2","22.2","24.2"
