"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm"
"01","1017.4","1021.1","1024.7","2021/01/17 09:28:00","1006.0","2021/01/22 14:43:00","16.0","29.8","2021/01/21 14:37:00","6.8","2021/01/13 04:20:00","11.4","2.3","100","16.4","130","2021/01/29 13:32:00","41.0","89.0","10","1.5","2021/01/28 14:19:00","3.5","2021/01/28 14:19:00","14.5","2021/01/11 00:00:00","75","48.7","124.5","307.17","5","8","2021/01/30 13:00:00","6.5","0.0","1.0"
"02","1014.2","1017.8","1026.1","2021/02/18 09:02:00","1004.5","2021/02/11 02:29:00","19.1","28.4","2021/02/25 10:56:00","11.9","2021/02/20 06:14:00","13.9","2.2","100","13.9","110","2021/02/09 12:25:00","46.5","46.8","7","3.0","2021/02/11 04:45:00","9.5","2021/02/11 04:27:00","23.5","2021/02/11 00:00:00","74","63.0","150.6","371.69","6","8","2021/02/10 13:00:00","5.8","0.0","1.0"
"03","1013.1","1016.7","1023.7","2021/03/22 10:17:00","1001.8","2021/03/29 15:59:00","20.3","30.4","2021/03/30 12:26:00","11.9","2021/03/22 12:45:00","17.0","2.0","100","19.5","320","2021/03/06 08:35:00","77.5","62.1","8","4.5","2021/03/06 13:41:00","11.5","2021/03/06 13:36:00","33.5","2021/03/06 00:00:00","83","72.2","110.1","379.77","6","10","2021/03/13 12:00:00","7.2","0.0","1.0"
"04","1011.1","1014.6","1018.8","2021/04/05 07:29:00","1001.5","2021/04/22 15:32:00","22.4","30.9","2021/04/02 12:13:00","15.9","2021/04/30 02:44:00","17.8","2.4","100","18.4","70","2021/04/18 09:40:00","60.0","36.7","4","5.0","2021/04/29 04:30:00","20.5","2021/04/29 03:58:00","39.5","2021/04/29 00:00:00","77","108.8","133.1","470.78","8","12","2021/04/21 12:00:00","7.1","0.0","1.0"
"05","1006.3","1009.8","1014.3","2021/05/05 20:37:00","999.7","2021/05/30 13:02:00","28.2","38.2","2021/05/28 12:25:00","19.8","2021/05/05 20:21:00","23.0","1.7","300","14.6","80","2021/05/05 08:21:00","119.5","29.7","6","8.0","2021/05/30 14:33:00","17.0","2021/05/30 13:49:00","50.5","2021/05/31 00:00:00","74","120.0","141.3","531.82","9","12","2021/05/28 12:00:00","7.7","0.0","1.0"
"06","1002.7","1006.1","1009.0","2021/06/12 22:54:00","995.8","2021/06/20 16:45:00","29.3","37.0","2021/06/18 14:54:00","21.8","2021/06/05 20:59:00","23.8","2.0","260","17.3","280","2021/06/16 11:44:00","316.5","55.0","10","23.0","2021/06/04 14:11:00","71.5","2021/06/04 13:25:00","156.0","2021/06/04 00:00:00","74","126.0","152.4","525.95","8","12","2021/06/16 13:00:00","7.9","0.0","1.0"
"07","1001.2","1004.6","1010.0","2021/07/08 07:56:00","987.8","2021/07/24 03:57:00","30.3","37.8","2021/07/25 12:29:00","24.9","2021/07/24 06:48:00","24.4","2.0","170","17.5","300","2021/07/24 04:29:00","288.0","54.9","13","17.5","2021/07/31 13:01:00","45.5","2021/07/24 05:53:00","87.5","2021/07/24 00:00:00","72","143.9","217.2","628.22","9","12","2021/07/01 12:00:00","6.9","0.0","1.0"
"08","1003.5","1007.0","1010.4","2021/08/16 07:48:00","991.4","2021/08/07 05:01:00","28.9","35.1","2021/08/13 11:38:00","24.3","2021/08/19 15:45:00","24.7","1.5","170","13.0","90","2021/08/13 14:06:00","409.0","54.9","17","25.0","2021/08/10 13:02:00","63.5","2021/08/10 12:57:00","132.0","2021/08/07 00:00:00","79","107.9","165.6","516.29","8","11","2021/08/12 12:00:00","7.2","0.0","1.0"
"09","1006.1","1009.6","1012.5","2021/09/23 21:29:00","989.1","2021/09/12 12:58:00","29.5","35.4","2021/09/01 12:59:00","23.7","2021/09/29 05:52:00","23.7","2.2","90","17.6","120","2021/09/11 23:41:00","181.5","21.2","8","13.0","2021/09/16 11:26:00","25.0","2021/09/12 13:07:00","87.5","2021/09/12 00:00:00","72","144.3","225.4","576.86","8","11","2021/09/10 12:00:00","5.1","0.0","1.0"
