"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.4","1020.0","1023.6","2022/01/01 09:26:00","1006.8","2022/01/23 13:19:00","17.2","25.8","2022/01/26 14:28:00","12.0","2022/01/12 05:54:00","14.0","2.4","90","16.1","70","2022/01/28 12:51:00","122.0","96.0","13","2.5","2022/01/06 20:28:00","7.0","2022/01/22 18:15:00","44.5","2022/01/22 00:00:00","83","44.2","47.1","221.00","3","6","2022/01/27 13:00:00","8.5"
"02","1016.8","1020.4","1025.3","2022/02/24 08:56:00","1008.0","2022/02/07 14:40:00","16.4","27.8","2022/02/28 13:38:00","10.3","2022/02/20 11:25:00","13.9","2.2","90","14.9","340","2022/02/07 17:20:00","252.0","194.3","21","3.0","2022/02/03 12:30:00","8.5","2022/02/03 12:30:00","38.5","2022/02/14 00:00:00","86","36.9","31.1","191.53","3","8","2022/02/28 12:00:00","9.1"
"03","1011.3","1014.9","1020.0","2022/03/31 23:31:00","1003.0","2022/03/18 03:46:00","21.1","30.0","2022/03/16 12:21:00","11.9","2022/03/08 04:12:00","16.5","2.3","90","14.3","80","2022/03/27 13:06:00","197.5","71.2","11","7.0","2022/03/28 06:13:00","14.0","2022/03/27 00:02:00","75.0","2022/03/28 00:00:00","76","89.1","128.5","418.90","6","11","2022/03/25 13:00:00","7.0"
"04","1011.2","1014.8","1022.8","2022/04/01 21:33:00","1001.4","2022/04/13 15:04:00","22.5","34.1","2022/04/26 12:43:00","13.2","2022/04/03 01:22:00","17.6","2.1","90","14.0","80","2022/04/06 14:31:00","108.5","62.2","7","13.5","2022/04/14 07:41:00","41.5","2022/04/14 07:18:00","57.0","2022/04/14 00:00:00","75","91.4","100.9","414.31","8","13","2022/04/11 12:00:00","8.0"
"05","1007.4","1010.9","1014.9","2022/05/02 21:07:00","1000.3","2022/05/26 16:16:00","23.4","33.6","2022/05/29 12:34:00","15.1","2022/05/02 02:28:00","20.8","2.0","90","13.5","70","2022/05/19 13:26:00","486.0","157.5","20","9.0","2022/05/12 18:07:00","32.0","2022/05/25 16:36:00","123.5","2022/05/25 00:00:00","86","60.1","48.2","326.94","7","12","2022/05/12 12:00:00","9.2"
"06","1003.9","1007.4","1009.2","2022/06/16 09:12:00","996.9","2022/06/06 02:24:00","28.1","35.8","2022/06/05 12:28:00","20.2","2022/06/07 13:55:00","23.5","1.7","160","24.2","180","2022/06/24 13:45:00","234.5","77.3","15","18.0","2022/06/24 13:43:00","42.5","2022/06/24 13:32:00","49.5","2022/06/07 00:00:00","77","111.1","136.1","497.32","10","14","2022/06/14 13:00:00","8.0"
"07","1003.3","1006.7","1009.3","2022/07/21 08:16:00","998.0","2022/07/30 13:36:00","30.8","38.3","2022/07/23 14:44:00","25.2","2022/07/06 05:16:00","24.4","1.7","160","13.4","280","2022/07/16 11:11:00","122.0","20.7","10","13.0","2022/07/05 12:29:00","39.0","2022/07/05 12:27:00","46.0","2022/07/05 00:00:00","70","159.6","241.2","667.74","11","14","2022/07/21 12:00:00","5.9"
"08","1004.5","1007.9","1009.0","2022/08/25 21:11:00","1000.2","2022/08/24 03:02:00","30.6","37.2","2022/08/22 12:48:00","24.9","2022/08/25 16:43:00","23.9","1.8","160","13.9","50","2022/08/01 12:36:00","218.5","17.8","10","14.5","2022/08/04 15:22:00","68.0","2022/08/01 12:33:00","69.5","2022/08/01 00:00:00","68","157.4","218.1","603.56","11","14","2022/08/09 13:00:00","5.9"
"09","1004.7","1008.1","1013.2","2022/09/08 08:48:00","990.8","2022/09/04 02:43:00","27.3","34.8","2022/09/29 12:52:00","21.9","2022/09/23 05:33:00","22.1","2.2","90","17.6","280","2022/09/04 04:46:00","256.0","91.0","15","7.0","2022/09/03 18:40:00","14.0","2022/09/14 00:01:00","47.0","2022/09/12 00:00:00","74","104.3","160.0","459.62","9","13","2022/09/26 12:00:00","6.2"
"10","1012.3","1015.8","1018.8","2022/10/25 08:16:00","1003.4","2022/10/16 04:40:00","24.2","35.1","2022/10/03 13:27:00","18.6","2022/10/18 04:07:00","20.1","2.6","90","14.6","110","2022/10/25 12:12:00","449.5","170.5","20","12.5","2022/10/16 15:03:00","45.5","2022/10/16 17:24:00","257.0","2022/10/16 00:00:00","79","68.3","77.2","284.60","6","11","2022/10/01 12:00:00","7.9"
"11","1012.5","1016.1","1020.9","2022/11/30 10:03:00","1007.0","2022/11/27 14:33:00","23.6","31.3","2022/11/28 13:04:00","17.2","2022/11/30 22:23:00","20.4","2.6","90","15.1","80","2022/11/30 11:28:00","119.5","87.3","5","5.5","2022/11/24 21:38:00","22.5","2022/11/24 21:22:00","67.0","2022/11/24 00:00:00","83","59.4","102.8","314.38","6","8","2022/11/13 12:00:00","7.2"
"12","1017.3","1020.9","1027.5","2022/12/18 09:12:00","1007.7","2022/12/10 14:15:00","16.6","24.8","2022/12/03 13:32:00","8.3","2022/12/25 05:43:00","13.3","2.3","90","13.6","80","2022/12/19 11:35:00","90.5","166.6","18","2.0","2022/12/16 18:27:00","5.0","2022/12/17 10:08:00","16.5","2022/12/15 00:00:00","82","30.4","56.6","194.23","3","6","2022/12/03 13:00:00","8.3"
